Query Name	Rank	TF	Score	Library	Overlapping_Genes
"gene_set_query"	"597"	"E2F3"	"615.3"	"ARCHS4 Coexpression,594;Enrichr Queries,945;GTEx Coexpression,307"	"ID2,PLXNC1"
"gene_set_query"	"598"	"E2F6"	"615.4"	"ARCHS4 Coexpression,1261;ENCODE ChIP-seq,18;Enrichr Queries,144;ReMap ChIP-seq,163;GTEx Coexpression,1491"	"ZBTB47,ID2,PLK2,ID1,SNAI1,LAMC1,VSIG10L"
"gene_set_query"	"599"	"ZNF629"	"616.3"	"ARCHS4 Coexpression,407;Enrichr Queries,124;GTEx Coexpression,1318"	"ID2,NT5DC2,ID1,LAMC1,CLU"
"gene_set_query"	"600"	"PLAGL2"	"616.7"	"ARCHS4 Coexpression,699;Enrichr Queries,511;GTEx Coexpression,640"	"ID2,ID1,LAMC1"
"gene_set_query"	"601"	"CENPB"	"617.3"	"ARCHS4 Coexpression,1511;Enrichr Queries,278;GTEx Coexpression,63"	"ZBTB47,ID2,ID1,LAMC1"
"gene_set_query"	"602"	"LBX2"	"617.3"	"ARCHS4 Coexpression,797;Enrichr Queries,199;GTEx Coexpression,856"	"ID2,ID1,SNAI1,HSPA2"
"gene_set_query"	"603"	"ZSCAN25"	"618.0"	"ARCHS4 Coexpression,777;GTEx Coexpression,459"	""
"gene_set_query"	"604"	"ZNF880"	"618.0"	"ARCHS4 Coexpression,1156;GTEx Coexpression,80"	"LAMC1"
"gene_set_query"	"605"	"IRX2"	"618.7"	"ARCHS4 Coexpression,791;Enrichr Queries,568;GTEx Coexpression,497"	"ID2,ID1"
"gene_set_query"	"606"	"ARNTL"	"621.0"	"ARCHS4 Coexpression,1028;Enrichr Queries,84;ReMap ChIP-seq,210;GTEx Coexpression,1162"	"PLK2,ID2,ID1,CLU"
"gene_set_query"	"607"	"PAX3"	"623.3"	"ARCHS4 Coexpression,319;Enrichr Queries,641;GTEx Coexpression,910"	"ID2,PLXNC1,ADGRL3"
"gene_set_query"	"608"	"ZSCAN4"	"623.3"	"ARCHS4 Coexpression,1277;Enrichr Queries,70;GTEx Coexpression,523"	"PLK2,ID1,SNAI1,ADGRL3"
